,date,open,high,low,close,volume
0,11-10-20 0:00,11293.22,11321.05,11270.7,11300.69,1273.872963
1,11-10-20 1:00,11300.7,11395.8,11298.07,11365.34,1613.472173
2,11-10-20 2:00,11365.18,11373.86,11345.82,11352.84,580.746781
3,11-10-20 3:00,11352.84,11352.84,11307.71,11332,730.86349
4,11-10-20 4:00,11332.01,11341.11,11301,11322.31,693.252077
5,11-10-20 5:00,11322.23,11343.3,11303.77,11337.94,979.835871
6,11-10-20 6:00,11337.95,11373.97,11335.72,11359.25,821.711579
7,11-10-20 7:00,11359,11369.51,11342.23,11350.01,800.969694
8,11-10-20 8:00,11350.01,11367.75,11337.89,11346.1,1137.049017
9,11-10-20 9:00,11346.1,11355.92,11327.05,11354.05,1026.07995
10,11-10-20 10:00,11354.05,11407.27,11340.19,11397.02,1773.733934
11,11-10-20 11:00,11397.02,11410,11350.36,11372.5,1363.845461
12,11-10-20 12:00,11372.51,11382.94,11350,11355.74,987.812508
13,11-10-20 13:00,11355.73,11382.2,11336.17,11368.42,1267.643949
14,11-10-20 14:00,11368.41,11445,11345,11378.72,1777.596349
15,11-10-20 15:00,11378.72,11440.86,11378.72,11405.47,1728.124323
16,11-10-20 16:00,11405.46,11426.98,11362,11391.78,1716.349786
17,11-10-20 17:00,11391.78,11430,11391.78,11424.27,876.273321
18,11-10-20 18:00,11424.26,11427.99,11382.24,11408.86,943.393405
19,11-10-20 19:00,11408.87,11415,11315.01,11334.02,1824.304432
20,11-10-20 20:00,11334.03,11360,11326.07,11326.28,1056.226083
21,11-10-20 21:00,11326.27,11344.12,11221,11328.22,1881.68203
22,11-10-20 22:00,11328.22,11358.87,11298.73,11353.86,1019.386095
23,11-10-20 23:00,11353.85,11395.32,11343.87,11369.02,1169.626068
24,12-10-20 0:00,11369.02,11380.2,11345.56,11378.4,986.74368
25,12-10-20 1:00,11378.5,11403.1,11353.05,11394.63,1326.494235
26,12-10-20 2:00,11394.63,11410,11369.92,11400.95,1018.726862
27,12-10-20 3:00,11400.96,11410.3,11383.71,11385,1312.915369
28,12-10-20 4:00,11385.01,11396.01,11365,11384.39,953.203382
29,12-10-20 5:00,11384.39,11413.9,11378.25,11399.68,1394.173842
30,12-10-20 6:00,11399.67,11402.78,11337.15,11342.24,1681.933539
31,12-10-20 7:00,11342.24,11393.83,11330.4,11379.34,1945.423169
32,12-10-20 8:00,11379.34,11393.83,11357.42,11358.8,1329.147929
33,12-10-20 9:00,11358.8,11374.11,11307.66,11358.56,1628.092256
34,12-10-20 10:00,11358.56,11371.73,11172,11264.77,4259.250701
35,12-10-20 11:00,11264.79,11277.23,11239.46,11244.41,2508.392403
36,12-10-20 12:00,11244.41,11292,11236.13,11290.88,1898.617477
37,12-10-20 13:00,11290.87,11528.87,11276.52,11489.08,6527.741034
38,12-10-20 14:00,11489.08,11498.42,11444.78,11468.86,2820.546456
39,12-10-20 15:00,11468.87,11590,11468.86,11549.38,3964.00577
40,12-10-20 16:00,11549.39,11579.64,11527.65,11551.38,2934.896644
41,12-10-20 17:00,11551.37,11566.89,11526.89,11556.29,1649.359297
42,12-10-20 18:00,11556.29,11566.36,11541.22,11548.69,1518.726383
43,12-10-20 19:00,11548.6,11575,11539.89,11546.93,1471.099718
44,12-10-20 20:00,11546.93,11575.07,11532.51,11559.69,1233.527911
45,12-10-20 21:00,11559.69,11720.01,11555.02,11684.16,3060.010101
46,12-10-20 22:00,11684.16,11700,11631.17,11658.06,1966.269556
47,12-10-20 23:00,11658.06,11659.31,11477,11528.25,3435.985996
48,13-10-20 0:00,11528.24,11544.87,11431,11493.35,2318.367412
49,13-10-20 1:00,11493.35,11512.02,11451.66,11502.7,1441.241444
50,13-10-20 2:00,11502.7,11507.79,11460.41,11487.8,1483.920761
51,13-10-20 3:00,11487.64,11487.64,11413,11458.24,1897.160089
52,13-10-20 4:00,11458.24,11486.37,11447.84,11481.52,998.92385
53,13-10-20 5:00,11481.53,11520,11478.11,11507.82,1141.31653
54,13-10-20 6:00,11507.82,11509.48,11460.98,11479.57,1212.452133
55,13-10-20 7:00,11479.56,11479.56,11426.49,11452,1586.519485
56,13-10-20 8:00,11452.21,11489.18,11442.85,11488.42,1476.828907
57,13-10-20 9:00,11488.44,11492.29,11462.03,11468.31,1239.200458
58,13-10-20 10:00,11468.31,11557,11370.55,11516.89,3516.234323
59,13-10-20 11:00,11516.88,11526.13,11463.83,11486.36,1820.743037
60,13-10-20 12:00,11486.37,11507.2,11425.19,11447.96,1891.61128
61,13-10-20 13:00,11447.97,11447.97,11321.39,11349.69,4199.638265
62,13-10-20 14:00,11349.7,11392.71,11300,11390.25,3288.095682
63,13-10-20 15:00,11390.25,11421.44,11371.33,11385.15,1815.238376
64,13-10-20 16:00,11385.15,11400.26,11340.78,11394.63,2169.404959
65,13-10-20 17:00,11394.71,11401.39,11349.79,11354.3,1369.354729
66,13-10-20 18:00,11354.3,11399.34,11343.25,11378.13,1866.40528
67,13-10-20 19:00,11378.14,11435.26,11367.49,11387.83,1576.377595
68,13-10-20 20:00,11387.83,11429.23,11386.26,11425.01,1153.992918
69,13-10-20 21:00,11425.01,11460.16,11417.53,11446.65,1156.061057
70,13-10-20 22:00,11446.58,11455,11415.18,11436.02,850.965848
71,13-10-20 23:00,11436.02,11450,11408,11420.56,735.229291
72,14-10-20 0:00,11420.57,11486.96,11408,11475.52,1164.837292
73,14-10-20 1:00,11475.53,11484,11435.25,11447.7,866.18108
74,14-10-20 2:00,11447.7,11449.37,11416.87,11422.64,984.962108
75,14-10-20 3:00,11422.7,11449,11390,11390,1110.542639
76,14-10-20 4:00,11390,11416.2,11361,11394.65,1657.183195
77,14-10-20 5:00,11394.67,11415.18,11376.82,11411.31,1238.050818
78,14-10-20 6:00,11411.31,11422.99,11386.47,11421.33,1404.431869
79,14-10-20 7:00,11421.34,11427.62,11382.7,11415.04,1193.007227
80,14-10-20 8:00,11415.03,11446.05,11412.8,11436.72,1611.68306
81,14-10-20 9:00,11436.73,11448,11396.77,11417.4,1266.470755
82,14-10-20 10:00,11417.39,11426.76,11357,11374.08,2046.930035
83,14-10-20 11:00,11374.09,11413.19,11360.71,11362.92,1351.489268
84,14-10-20 12:00,11362.93,11406.17,11350.92,11406.17,1679.30703
85,14-10-20 13:00,11406.17,11547.98,11398.74,11530.98,3697.055525
86,14-10-20 14:00,11530.98,11536.38,11357.2,11385.63,4233.478319
87,14-10-20 15:00,11385.63,11411.21,11280,11320.76,3741.444068
88,14-10-20 16:00,11320.76,11356.44,11297.63,11339.68,2436.917926
89,14-10-20 17:00,11339.68,11349.4,11318,11337.37,1778.538459
90,14-10-20 18:00,11337.37,11349.53,11287.01,11333.77,1968.668273
91,14-10-20 19:00,11333.77,11369.79,11331.1,11342.25,1653.07577
92,14-10-20 20:00,11342.25,11386.56,11336.93,11381.64,1063.323793
93,14-10-20 21:00,11381.65,11404,11364.58,11368.68,964.524832
